,RSI Length,RSI Buy Threshold,RSI Sell Threshold,Stop Loss (%),Take Profit (%),Risk (%),Final Equity,Sharpe Ratio,Max Drawdown (%),Total Trades,Total Return (%),CAGR (%),Time in Market (%)
0,2,10,80,0.02,0.05,0.01,297118.8870296478,0.6456905644033819,-16.960226402680856,560,197.11888702964785,3.991723730909058,40.6361432035373
1,2,10,80,0.02,0.05,0.02,818328.6351718898,0.637868204784237,-33.44374929331699,560,718.3286351718898,7.848431760251717,40.6361432035373
2,2,10,80,0.02,0.1,0.01,293341.25543403625,0.6256295463878515,-16.97104423568045,558,193.34125543403627,3.9439065003090246,40.6361432035373
3,2,10,80,0.02,0.1,0.02,797259.791948318,0.6201264695254812,-33.44920432664429,558,697.259791948318,7.747368008344102,40.6361432035373
4,2,10,80,0.03,0.05,0.01,208309.8201789856,0.6478894978439486,-11.351814797631695,560,108.3098201789856,2.67283388656534,40.6361432035373
5,2,10,80,0.03,0.05,0.02,420164.9504585266,0.6432233778534816,-22.51506120545107,560,320.1649504585266,5.2950369077396475,40.6361432035373
6,2,10,80,0.03,0.1,0.01,206554.07028198242,0.6272098920872835,-11.355999002639422,558,106.55407028198243,2.64160189598186,40.6361432035373
7,2,10,80,0.03,0.1,0.02,413024.8715438843,0.6239843105303389,-22.51955352837874,558,313.0248715438843,5.230189235750604,40.6361432035373
8,2,10,85,0.02,0.05,0.01,285173.6132068634,0.585878710897551,-17.338013666065084,514,185.17361320686342,3.838458036106851,34.31750106974754
9,2,10,85,0.02,0.05,0.02,754978.9485874169,0.5816733120318472,-34.22337825907722,514,654.9789485874169,7.536541812762487,34.31750106974754
10,2,10,85,0.02,0.1,0.01,272398.9635944365,0.5522059688874135,-17.509327223847134,510,172.39896359443654,3.667545176755449,34.31750106974754
11,2,10,85,0.02,0.1,0.02,689638.5852832787,0.5512383454090121,-34.22317332488507,510,589.6385852832788,7.187220261520433,34.31750106974754
12,2,10,85,0.03,0.05,0.01,202595.93257331848,0.586513558357037,-11.616808340182768,514,102.59593257331846,2.5702435340509533,34.31750106974754
13,2,10,85,0.03,0.05,0.02,397871.9749164581,0.5844821450242628,-23.024356184479682,514,297.8719749164581,5.088909515155415,34.31750106974754
14,2,10,85,0.03,0.1,0.01,196555.45243644714,0.5522845472885246,-11.870785706244124,510,96.55545243644714,2.4587107085990434,34.31750106974754
15,2,10,85,0.03,0.1,0.02,374421.89785575843,0.5519538455558282,-23.028862403801416,510,274.42189785575846,4.85970212435709,34.31750106974754
16,2,10,90,0.02,0.05,0.01,302226.3844966887,0.5880876893856524,-17.458215128591227,446,202.22638449668872,4.055450803957528,27.3284838111539
17,2,10,90,0.02,0.05,0.02,848928.0552711476,0.5873884372700408,-34.49827904691977,446,748.9280552711476,7.9908319139669,27.3284838111539
18,2,10,90,0.02,0.1,0.01,289556.4562358855,0.5558888205447721,-19.64972509310961,440,189.55645623588552,3.8953994523313495,27.3284838111539
19,2,10,90,0.02,0.1,0.02,779280.0624122608,0.5584643277998679,-37.84896758535491,440,679.2800624122608,7.65906484775043,27.3284838111539
20,2,10,90,0.03,0.05,0.01,210654.824634552,0.5882910522061348,-11.679338490332443,446,110.654824634552,2.714154268385127,27.3284838111539
21,2,10,90,0.03,0.05,0.02,430109.7274742124,0.5879370942692936,-23.189462928289913,446,330.10972747421243,5.383608953320174,27.3284838111539
